deck_id,front_text,back_text,order_num,is_published
81,follow,～の後に続く、～に従う,1,true
81,consider,～を考慮する,2,true
81,increase,増える、～を増やす,3,true
81,expect,～を予期する,4,true
81,decide,～することを決意する,5,true
81,develop,発達する、～を発達させる,6,true
81,provide,～を供給する、与える,7,true
81,continue,続く、～を続ける,8,true
81,include,～を含む、含める,9,true
81,remain,ままでいる,10,true
81,reach,～に着く、～に達する,11,true
81,allow,～を許可する,12,true
81,force,～を強制する,13,true
81,offer,～を申し出る,14,true
81,realize,～を悟る,15,true
81,suggest,～と提案する、～をほのめかす,16,true
81,require,～を必要とする,17,true
81,worry,心配する,18,true
81,wonder,～かと疑問に思う,19,true
81,cost,～を要する,20,true
81,tend,～する傾向がある、～しがちである,21,true
81,depend,～に依存する、～しだいで決まる,22,true
81,share,～を分け合う、共有する,23,true
81,demand,～を要求する,24,true
81,support,～を支持する,25,true
81,hire,～を雇う,26,true
81,regard,AをBだと思う、みなす,27,true
81,base,AがBに基づいている,28,true
81,improve,～を向上させる,29,true
81,recognize,～を認める,30,true
81,notice,～に気づく,31,true
81,suppose,～だと思う,32,true
81,raise,～を上げる、～を育てる,33,true
81,prefer,～をより好む,34,true
81,cheer,～を励ます,35,true
81,suffer,～を経験する、受ける、苦しむ,36,true
81,describe,～を描写する、～の特徴を説明する,37,true
81,prevent,～をさまたげる,38,true
81,reduce,～を減らす,39,true
81,mistake,～を誤解する、まちがえる,40,true
81,prepare,～の準備をする,41,true
81,encourage,はげます,42,true
81,prove,～だとわかる,43,true
81,treat,～をあつかう,44,true
81,establish,～を設立する、創立する,45,true
81,relate,関係がある,46,true
81,compare,～を比較する、～をたとえる,47,true
81,spread,～を広げる；広がる,48,true
81,refer,～を指示する,49,true
81,supply,～を供給する,50,true
81,gain,～を得る,51,true
81,destroy,～を破壊する,52,true
81,apply,当てはまる、申し込む,53,true
81,seek,～を求める,54,true
81,search,～を捜す,55,true
81,claim,～と主張する,56,true
81,draw,～を引っぱる,57,true
81,refuse,～を断る,58,true
